INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_IN_OUT,PRECINCT,JURISDICTION_CODE,LOC_CLASS,LOCATION_DESC,MURDER_FLAG,PERP_AGE,PERP_SEX,PERP_RACE,VIC_AGE,VIC_SEX,VIC_RACE,X_COORD,Y_COORD,LAT,LONG
281552305,2/2/24,4:50:00,BRONX,OUTSIDE,48,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1013374,248085,40.84756301134388,-73.89473266
283128965,3/2/24,1:29:00,BRONX,OUTSIDE,44,0,STREET,(null),N,(null),(null),(null),25-44,F,BLACK,1006769,241999,40.830878,-73.918625
284584434,3/30/24,20:50:00,BRONX,OUTSIDE,46,0,STREET,(null),Y,(null),(null),(null),18-24,M,BLACK HISPANIC,1013076,252524,40.85974771441924,-73.89579068
284213335,3/23/24,0:28:00,BRONX,OUTSIDE,43,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1020324,240687,40.827234,-73.869649
283020988,2/29/24,22:35:00,BROOKLYN,OUTSIDE,77,0,STREET,(null),Y,(null),(null),(null),<18,M,BLACK,998911,185545,40.67594273976806,-73.94714488
283885165,3/16/24,20:00:00,STATEN ISLAND,OUTSIDE,121,0,STREET,(null),N,45-64,M,BLACK,25-44,M,ASIAN / PACIFIC ISLANDER,940986,169325,40.631331,-74.155867
279863276,1/2/24,14:57:00,BRONX,OUTSIDE,45,0,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1032217,239443,40.823762,-73.826686
282117921,2/12/24,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),Y,<18,M,BLACK HISPANIC,25-44,F,WHITE HISPANIC,1007839,246906,40.844343526095244,-73.9147428
283711013,3/13/24,9:55:00,BROOKLYN,OUTSIDE,73,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,1008769,177614,40.654153,-73.911632
283020987,2/29/24,17:29:00,BRONX,INSIDE,40,0,COMMERCIAL,GROCERY/BODEGA,N,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1009568,236579,40.815995,-73.908532
281390656,1/30/24,21:12:00,BRONX,OUTSIDE,47,0,STREET,(null),N,25-44,M,BLACK,45-64,M,BLACK,1021270,257055,40.872153,-73.866141
280879491,1/21/24,6:08:00,BRONX,INSIDE,47,0,STREET,(null),N,(null),(null),(null),45-64,M,BLACK,1023421,264176,40.891691,-73.858323
280768895,1/18/24,21:00:00,BRONX,OUTSIDE,48,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1010264,212763,40.75062352990398,-73.90611044
280872174,1/20/24,12:57:00,BRONX,INSIDE,44,0,COMMERCIAL,GROCERY/BODEGA,N,(null),(null),(null),25-44,M,BLACK,1006888,240238,40.826047,-73.9182
280370387,1/11/24,21:34:00,BRONX,OUTSIDE,43,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1021739,244529,40.837771289628165,-73.86451768
